x, y, z 
-0.00, -0.04, -1.02
-0.01, -0.01, -1.00
0.02, -0.03, -1.01
-0.05, -0.03, -1.00
-0.02, 0.00, -1.00
-0.02, 0.01, -1.02
-0.10, -1.31, -0.94
-0.02, 0.05, -1.01
-0.03, -0.03, -1.03
0.46, 1.81, -1.02
-0.03, 0.00, -1.00
-0.03, 0.05, -0.99
0.04, 0.08, -1.01
-0.06, -0.03, -0.99
-0.06, -0.02, -1.01
-0.06, -0.02, -1.00
0.63, 0.95, -1.16
0.01, 0.00, -1.00
-0.04, 0.01, -1.02
-0.06, 0.03, -1.01
-0.13, -0.02, -0.99
-0.03, 0.03, -1.05
-0.05, 0.01, -1.01
-0.02, 0.01, -1.01
-0.14, -2.12, -1.03
-0.04, -0.02, -1.02
-0.06, 0.00, -1.03
-0.00, -0.93, -1.00
-0.00, 0.12, -1.02
-0.03, 0.01, -1.02
-0.05, 0.02, -1.02
-0.05, -0.00, -1.02
0.15, 2.35, -1.03
-0.25, 0.52, -1.01
-0.06, 0.01, -1.00
-0.05, 0.01, -1.01
-0.05, 0.02, -1.01
-0.07, -0.02, -1.03
-0.03, 0.01, -1.00
-0.07, 0.00, -1.03
-0.05, 0.02, -1.01
-0.16, 2.15, -0.96
0.05, -1.73, -0.96
-0.09, 0.20, -1.00
-0.07, 0.03, -1.02
-0.03, 0.01, -1.02
-0.15, 0.03, -1.01
-0.18, 1.44, -1.02
0.09, 1.62, -1.06
-0.06, 0.02, -1.02
-0.03, 0.03, -1.00
-0.06, 0.02, -1.02
-0.03, 0.02, -1.02
-0.06, -0.00, -1.01
-0.05, 0.01, -1.03
0.30, -1.08, -1.02
-0.05, -0.00, -1.02
-0.05, -0.00, -1.02
-0.05, -0.00, -1.01
-0.09, -4.45, -1.07
0.08, 0.02, -1.01
-0.04, 0.01, -1.02
-0.03, 0.03, -1.03
-0.47, 3.35, -1.02
-0.09, 0.01, -1.16
-0.04, 0.01, -1.01
-0.06, 0.01, -1.03
-0.04, -0.00, -0.99
-0.03, 3.46, -1.09
-0.29, 0.53, -1.03
-0.05, 0.01, -1.03
-0.05, 0.01, -1.02
0.19, 1.29, -1.00
-0.06, 0.01, -1.01
-0.03, 0.01, -1.01
-0.06, -0.29, -1.05
-0.05, 0.01, -1.01
-0.06, 0.03, -1.01
-0.04, 0.02, -1.01
-0.05, 0.01, -1.02
-0.03, 0.04, -1.01
-0.03, 0.01, -1.01
-0.06, 0.00, -1.01
